Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,Case13 Spectral Count,Case3 Spectral Count,Case9 Spectral Count,Case12 Spectral Count,Case6 Spectral Count,Case8 Spectral Count,Case11 Spectral Count,Case16 Spectral Count,Case19 Spectral Count,Case15 Spectral Count,Case18 Spectral Count,Case7 Spectral Count,Case20 Spectral Count,Case10 Spectral Count,Case14 Spectral Count,Case4 Spectral Count,Case1 Spectral Count,Case17 Spectral Count,Case5 Spectral Count,Case2 Spectral Count,Control15 Spectral Count,Control1 Spectral Count,Control18 Spectral Count,Control3 Spectral Count,Control10 Spectral Count,Control11 Spectral Count,Control13 Spectral Count,Control17 Spectral Count,Control5 Spectral Count,Control16 Spectral Count,Control14 Spectral Count,Control6 Spectral Count,Control9 Spectral Count,Control20 Spectral Count,Control2 Spectral Count,Control7 Spectral Count,Control8 Spectral Count,Control19 Spectral Count,Control4 Spectral Count,Control12 Spectral Count,Case13 Unique Spectral Count,Case3 Unique Spectral Count,Case9 Unique Spectral Count,Case12 Unique Spectral Count,Case6 Unique Spectral Count,Case8 Unique Spectral Count,Case11 Unique Spectral Count,Case16 Unique Spectral Count,Case19 Unique Spectral Count,Case15 Unique Spectral Count,Case18 Unique Spectral Count,Case7 Unique Spectral Count,Case20 Unique Spectral Count,Case10 Unique Spectral Count,Case14 Unique Spectral Count,Case4 Unique Spectral Count,Case1 Unique Spectral Count,Case17 Unique Spectral Count,Case5 Unique Spectral Count,Case2 Unique Spectral Count,Control15 Unique Spectral Count,Control1 Unique Spectral Count,Control18 Unique Spectral Count,Control3 Unique Spectral Count,Control10 Unique Spectral Count,Control11 Unique Spectral Count,Control13 Unique Spectral Count,Control17 Unique Spectral Count,Control5 Unique Spectral Count,Control16 Unique Spectral Count,Control14 Unique Spectral Count,Control6 Unique Spectral Count,Control9 Unique Spectral Count,Control20 Unique Spectral Count,Control2 Unique Spectral Count,Control7 Unique Spectral Count,Control8 Unique Spectral Count,Control19 Unique Spectral Count,Control4 Unique Spectral Count,Control12 Unique Spectral Count,Case13 Total Spectral Count,Case3 Total Spectral Count,Case9 Total Spectral Count,Case12 Total Spectral Count,Case6 Total Spectral Count,Case8 Total Spectral Count,Case11 Total Spectral Count,Case16 Total Spectral Count,Case19 Total Spectral Count,Case15 Total Spectral Count,Case18 Total Spectral Count,Case7 Total Spectral Count,Case20 Total Spectral Count,Case10 Total Spectral Count,Case14 Total Spectral Count,Case4 Total Spectral Count,Case1 Total Spectral Count,Case17 Total Spectral Count,Case5 Total Spectral Count,Case2 Total Spectral Count,Control15 Total Spectral Count,Control1 Total Spectral Count,Control18 Total Spectral Count,Control3 Total Spectral Count,Control10 Total Spectral Count,Control11 Total Spectral Count,Control13 Total Spectral Count,Control17 Total Spectral Count,Control5 Total Spectral Count,Control16 Total Spectral Count,Control14 Total Spectral Count,Control6 Total Spectral Count,Control9 Total Spectral Count,Control20 Total Spectral Count,Control2 Total Spectral Count,Control7 Total Spectral Count,Control8 Total Spectral Count,Control19 Total Spectral Count,Control4 Total Spectral Count,Control12 Total Spectral Count,Case13 Intensity,Case3 Intensity,Case9 Intensity,Case12 Intensity,Case6 Intensity,Case8 Intensity,Case11 Intensity,Case16 Intensity,Case19 Intensity,Case15 Intensity,Case18 Intensity,Case7 Intensity,Case20 Intensity,Case10 Intensity,Case14 Intensity,Case4 Intensity,Case1 Intensity,Case17 Intensity,Case5 Intensity,Case2 Intensity,Control15 Intensity,Control1 Intensity,Control18 Intensity,Control3 Intensity,Control10 Intensity,Control11 Intensity,Control13 Intensity,Control17 Intensity,Control5 Intensity,Control16 Intensity,Control14 Intensity,Control6 Intensity,Control9 Intensity,Control20 Intensity,Control2 Intensity,Control7 Intensity,Control8 Intensity,Control19 Intensity,Control4 Intensity,Control12 Intensity,Case13 MaxLFQ Intensity,Case3 MaxLFQ Intensity,Case9 MaxLFQ Intensity,Case12 MaxLFQ Intensity,Case6 MaxLFQ Intensity,Case8 MaxLFQ Intensity,Case11 MaxLFQ Intensity,Case16 MaxLFQ Intensity,Case19 MaxLFQ Intensity,Case15 MaxLFQ Intensity,Case18 MaxLFQ Intensity,Case7 MaxLFQ Intensity,Case20 MaxLFQ Intensity,Case10 MaxLFQ Intensity,Case14 MaxLFQ Intensity,Case4 MaxLFQ Intensity,Case1 MaxLFQ Intensity,Case17 MaxLFQ Intensity,Case5 MaxLFQ Intensity,Case2 MaxLFQ Intensity,Control15 MaxLFQ Intensity,Control1 MaxLFQ Intensity,Control18 MaxLFQ Intensity,Control3 MaxLFQ Intensity,Control10 MaxLFQ Intensity,Control11 MaxLFQ Intensity,Control13 MaxLFQ Intensity,Control17 MaxLFQ Intensity,Control5 MaxLFQ Intensity,Control16 MaxLFQ Intensity,Control14 MaxLFQ Intensity,Control6 MaxLFQ Intensity,Control9 MaxLFQ Intensity,Control20 MaxLFQ Intensity,Control2 MaxLFQ Intensity,Control7 MaxLFQ Intensity,Control8 MaxLFQ Intensity,Control19 MaxLFQ Intensity,Control4 MaxLFQ Intensity,Control12 MaxLFQ Intensity
sp|A0A024RBG1|NUD4B_HUMAN,A0A024RBG1,NUD4B_HUMAN,NUDT4B,181,Homo sapiens,1:Experimental evidence at protein level,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,0.922,0.999,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42463.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|A0A075B6H7|KV37_HUMAN,A0A075B6H7,KV37_HUMAN,IGKV3-7,116,Homo sapiens,1:Experimental evidence at protein level,Probable non-functional immunoglobulin kappa variable 3-7,1,0.999,4,582,217,582,10,29,10,13,12,21,11,11,13,12,24,13,16,12,13,11,9,14,12,16,26,11,7,27,11,21,13,7,14,17,14,7,14,17,25,14,10,25,16,4,4,13,5,2,10,10,4,3,3,3,11,4,4,2,3,2,5,5,8,6,11,4,3,11,5,8,6,2,4,4,3,1,4,9,11,6,3,10,4,1,10,29,10,13,12,21,11,11,13,12,24,13,16,12,13,11,9,14,12,16,26,11,7,27,11,21,13,7,14,17,14,7,14,17,25,14,10,25,16,4,1620638.8,4344651,1679120,5819698,742076.9,4989097,3714921.8,2825188.8,3409538,231258.84,6963789,1.11E+07,5780603,2570573.5,8800192,1172182.6,1006171.1,4225301.5,337722,4088789,907243.6,3167536,2213431,3358564,2097528.2,5879527.5,3701550.8,2345583.8,3765246.5,4577808,2158933.5,2356562,2941955.2,5335145.5,5683545,4077040,2410894,1.20E+07,3179343,222489.42,1040868.2,4906725.5,1582955.4,2533576.2,904151.25,5710237.5,3592529.5,2610739.2,2806315,286736.3,1882897.1,6814923.5,4496477,1940860.1,4366966,1463012.6,1131637.6,2346064.8,215265.8,4809037,126766.31,2621654.2,1801914.9,4184604.2,1991211,4662696.5,3275027,1330890.5,2918766,3898447.8,1835715.6,1360439.2,3246586.8,6502909.5,5542918.5,4456585,2248314,8238210,3018029.5,278488.5
sp|A0A075B6H9|LV469_HUMAN,A0A075B6H9,LV469_HUMAN,IGLV4-69,119,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 4-69,1,0.999,4,109,106,109,1,6,3,2,3,2,1,5,1,2,7,0,2,0,4,8,1,3,7,10,4,0,2,6,1,2,1,0,4,1,1,1,3,2,2,0,0,2,7,2,1,6,3,2,3,2,1,5,1,2,7,0,2,0,3,8,1,3,6,10,4,0,2,5,1,2,1,0,4,1,1,1,3,2,2,0,0,2,7,2,1,6,3,2,3,2,1,5,1,2,7,0,2,0,4,8,1,3,7,10,4,0,2,6,1,2,1,0,4,1,1,1,3,2,2,0,0,2,7,2,153808.5,663360.7,173821.17,129920.11,363754.94,257264.27,116297.414,540888,108229.44,174044.39,0,0,315841.34,41911.316,428641.75,730402.5,637147.4,169840.8,247753.53,378044.12,288992.84,109013.22,182041.44,678424.75,49560.973,261581.55,119761.016,75729.805,327136.47,106815.766,43312.426,45670.3,242040.39,151040.83,108633.164,0,0,198474.72,161947.36,116175.77,153808.5,589644,173821.17,129920.11,363754.94,257264.27,116297.414,540888,108229.44,174044.39,0,0,315841.34,41911.316,369016.9,538494.7,637147.4,169840.8,211591.19,378044.12,288992.84,109013.22,182041.44,547164.9,49560.973,261581.55,119761.016,75729.805,327136.47,106815.766,43312.426,45670.3,242040.39,151040.83,108633.164,0,0,198474.72,161947.36,116175.77
sp|A0A075B6I0|LV861_HUMAN,A0A075B6I0,LV861_HUMAN,IGLV8-61,122,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 8-61,1,0.999,4,157,157,157,4,8,4,0,6,0,4,5,2,5,9,4,1,1,8,14,4,2,5,8,2,5,1,13,0,5,5,0,6,4,1,1,3,3,1,5,0,4,2,2,4,8,4,0,6,0,4,5,2,5,9,4,1,1,8,14,4,2,5,8,2,5,1,13,0,5,5,0,6,4,1,1,3,3,1,5,0,4,2,2,4,8,4,0,6,0,4,5,2,5,9,4,1,1,8,14,4,2,5,8,2,5,1,13,0,5,5,0,6,4,1,1,3,3,1,5,0,4,2,2,214669.72,1055497.5,327515.88,227339.44,638383.75,26497.678,144558.55,514483.6,357483.8,329543.75,1059067.6,436578.78,43701.17,104918.89,1286743.6,1398682.4,590750.06,76560.164,280142.5,1412071.5,334501.62,535716.9,56935.73,2119640,99629.09,928354.5,447830.06,59222.465,367377.03,222306.02,93406.85,60698.926,218360.16,140343.05,191106.11,723501.3,0,536805,201789.28,168682.89,137410.19,630406.56,196863.86,135404.6,363489,26892.053,91920.56,290447.84,205322.25,287452.53,628015.6,249593.4,75472.88,66640.805,711479.75,792646.7,583609.8,132221.08,394517.94,792394.56,278857.84,310038.5,57783.125,1018274.94,61575.516,516850.78,254960.62,60103.895,210511.98,125692.52,59369.727,61602.332,207838.38,90183.87,109948.02,443582.66,0,326163.72,125881.445,171193.45
sp|A0A075B6I1|LV460_HUMAN,A0A075B6I1,LV460_HUMAN,IGLV4-60,120,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 4-60,0.9992,0.999,2,26,26,26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,2,3,1,0,0,5,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,2,3,1,0,0,5,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,2,3,1,0,0,5,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,23543.201,0,0,100698.03,0,15974.281,0,0,0,0,0,0,222496.47,178546.97,87079.06,0,75744.37,227608,17204.348,0,0,209315.89,0,99891.11,0,0,124054.5,0,0,0,0,66735.81,0,0,0,0,0,26110.426,0,0,32413.55,0,0,57095.81,0,15485.395,0,0,0,0,0,0,306326.25,101974.39,84414.04,0,73426.24,129420.18,16677.816,0,0,119406.29,0,55697.7,0,0,69355.555,0,0,0,0,64693.39,0,0,0,0,0,25311.326
sp|A0A075B6I4|LVX54_HUMAN,A0A075B6I4,LVX54_HUMAN,IGLV10-54,117,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 10-54,1,0.999,2,21,21,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,3,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,3,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,3,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37144.63,0,0,0,0,0,0,0,0,0,0,0,0,205575.06,0,0,58851.992,200467.38,64942.3,0,0,113002.07,0,0,57450.016,0,0,0,0,0,0,22213.713,0,0,0,0,0,0,0,0,53849.598,0,0,0,0,0,0,0,0,0,0,0,0,118718.19,0,0,34121.37,115447.484,53056.15,0,0,64830.26,0,0,55624.55,0,0,0,0,0,0,21507.875,0,0,0,0,0,0
sp|A0A075B6I9|LV746_HUMAN,A0A075B6I9,LV746_HUMAN,IGLV7-46,117,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 7-46,0.9929,0.999,3,158,30,158,1,11,2,2,5,5,1,7,2,4,5,0,2,2,4,6,9,6,5,5,3,2,2,10,1,4,5,2,8,1,0,1,4,4,8,2,5,2,5,5,0,2,1,0,1,1,0,1,0,0,0,0,1,0,1,2,1,2,1,1,1,0,0,1,0,1,1,0,2,0,0,0,1,2,0,1,0,1,1,3,1,11,2,2,5,5,1,7,2,4,5,0,2,2,4,6,9,6,5,5,3,2,2,10,1,4,5,2,8,1,0,1,4,4,8,2,5,2,5,5,82122.7,1734768.5,218281.03,205496.94,684036.1,207470.48,70282.34,381475.7,198651.27,245608.25,529791.5,0,183942,99194.516,501922.03,997220.6,857066.5,225312.1,680817.5,1083967.9,424343.25,106872.734,59425.41,742889.1,44106.254,276319.5,210456.22,158045.73,388025.62,140366.94,93730.27,81075.66,258062.22,271891.06,284205.28,114378.61,202391.06,121778.51,431098.28,275808.1,89601.766,794466.2,160688.83,94729.9,333929.78,99240.695,76683.08,188647.58,95150.19,158474.95,338181.12,0,134315.33,73013.6,223828.62,378108.2,393935.16,112334.18,297714.28,503888.8,161141.47,77651.18,64837.387,354469.16,48123.09,132311.97,99740.28,101350.74,182797.56,67365.47,44863.844,88459.36,125187.16,129815.82,135720.08,82695.19,130209.93,81519.53,203327.83,142127.86
sp|A0A075B6J1|LV537_HUMAN,A0A075B6J1,LV537_HUMAN,IGLV5-37,123,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 5-37,1,0.999,3,24,6,24,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,4,0,0,4,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,4,0,0,4,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,195683.31,0,23130.412,55766.53,22237.646,0,38941.14,19514.021,0,0,0,0,0,0,79870.12,197895.5,0,0,27760.22,190357.42,0,0,176344.6,0,30131.834,0,0,43379.156,30147.578,0,0,45788.74,59217.375,0,0,0,0,0,0,0,97217.15,0,24003.8,57872.24,23077.324,0,40411.53,20250.857,0,0,0,0,0,0,82885.95,121896.73,0,0,28808.428,52137.355,0,0,110701.36,0,31269.592,0,0,45017.12,31285.93,0,0,47517.688,61453.383,0,0,0,0,0,0
sp|A0A075B6J6|LV322_HUMAN,A0A075B6J6,LV322_HUMAN,IGLV3-22,115,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 3-22,0.9759,0.9989,2,40,40,40,0,4,0,0,0,1,0,1,1,1,2,1,0,0,0,5,1,1,3,3,0,0,0,4,0,0,0,0,0,2,1,0,2,0,2,0,0,0,4,1,0,4,0,0,0,1,0,1,1,1,2,1,0,0,0,5,1,1,3,3,0,0,0,4,0,0,0,0,0,2,1,0,2,0,2,0,0,0,4,1,0,4,0,0,0,1,0,1,1,1,2,1,0,0,0,5,1,1,3,3,0,0,0,4,0,0,0,0,0,2,1,0,2,0,2,0,0,0,4,1,0,421595.44,0,102140.875,0,803353.06,0,31289.865,359377.1,0,876729.5,0,185266.5,209559.81,0,560001.2,33340.496,16264.564,79621.41,68122.97,0,112121.65,0,66494.82,84426.664,44089.047,461198.8,0,266403.62,96393.02,48972.984,0,33447.113,0,256912.97,0,0,282312,124141.57,37546.465,0,427550.94,0,103583.73,0,347670.3,0,31731.87,297705.62,0,889114.25,0,187883.6,212520.08,0,567911.8,33811.47,16494.318,80746.15,69085.28,0,113705.49,0,67434.13,85619.28,44711.85,467713.75,0,270166.88,97754.68,49664.78,0,33919.59,0,260542.14,0,0,286299.97,125895.2,38076.85
sp|A0A075B6J9|LV218_HUMAN,A0A075B6J9,LV218_HUMAN,IGLV2-18,118,Homo sapiens,1:Experimental evidence at protein level,Immunoglobulin lambda variable 2-18,1,0.999,4,249,245,317,0,8,4,6,2,4,2,13,3,7,13,5,1,3,2,29,14,14,5,5,9,1,0,15,4,3,5,2,4,6,1,6,11,8,6,1,4,12,9,2,0,8,4,6,2,4,2,13,3,7,13,5,1,3,1,27,14,14,5,5,9,1,0,14,4,3,5,2,4,6,1,6,11,8,6,1,4,12,9,2,2,11,6,7,3,5,2,14,4,8,15,8,3,4,6,30,18,16,9,7,11,2,0,17,8,5,6,2,5,7,1,8,14,9,6,2,5,17,10,4,0,1604239.4,315709.28,830869.8,186589.33,227186.83,242318.6,1371768.4,224082.5,803374.4,460706.38,237458.55,79991.555,187278.97,405370.5,8248253.5,1573966.8,626465.4,719801.5,819424.3,2108910.2,170033.81,0,1186074.1,167471.31,329995.3,181808.58,151362.97,281621.34,145238.83,128953.67,114916.67,1318436.2,588668.25,654627.6,217731.98,239046.81,1264400.2,608939.06,38894.7,0,1100579.2,245681.78,525617.1,216429.53,179931.62,281071.28,1090195.1,181398.27,531516.1,304188.53,275434,92784.164,149581.9,404699.2,2073448.1,932618.3,473845.97,400706.62,623312.56,718108.9,197226.39,0,922346.6,135217.81,251112.47,145151.56,175569.62,326659.5,86673.92,149576.53,90977.2,1065880.8,430394.66,410816.5,252552.67,193858.48,713616.9,425017.22,45114.914
